showRange,movieNm,movieCd,rank,movieId
20190429~20190505,뽀로로 극장판 보물섬 대모험,20198183,3,101
20190429~20190505,명탐정 피카츄,20198598,4,99
20190429~20190505,어글리 돌,20197147,5,104
20190429~20190505,생일,20183096,6,106
20190429~20190505,캡틴 마블,20181877,7,107
20190429~20190505,안도 타다오,20169323,8,105
20190429~20190505,판의 미로 - 오필리아와 세 개의 열쇠,20060347,9,108
20190429~20190505,프렌즈: 둥지탈출,20199736,10,109
20190422~20190428,어벤져스: 엔드게임,20184889,1,89
20190422~20190428,뽀로로 극장판 보물섬 대모험,20198183,2,101
20190422~20190428,생일,20183096,3,106
20190422~20190428,요로나의 저주,20183454,4,110
20190422~20190428,미성년,20180825,5,111
20190422~20190428,크게 될 놈,20198982,6,112
20190422~20190428,캡틴 마블,20181877,7,107
20190422~20190428,노팅 힐,19990220,8,113
20190422~20190428,돈,20176103,9,114
20190422~20190428,바이스,20198104,10,115
20190415~20190421,생일,20183096,1,106
20190415~20190421,요로나의 저주,20183454,2,110
20190415~20190421,미성년,20180825,3,111
20190415~20190421,헬보이,20185406,4,116
20190415~20190421,돈,20176103,5,114
20190415~20190421,크게 될 놈,20198982,6,112
20190415~20190421,캡틴 마블,20181877,7,107
20190415~20190421,왓칭,20182501,8,117
20190415~20190421,바이스,20198104,9,115
20190415~20190421,아이 엠 마더,20198844,10,118
20190408~20190414,생일,20183096,1,106
20190408~20190414,헬보이,20185406,2,116
20190408~20190414,돈,20176103,3,114
20190408~20190414,미성년,20180825,4,111
20190408~20190414,샤잠!,20196244,5,119
20190408~20190414,어스,20185352,6,120
20190408~20190414,공포의 묘지,20197423,7,121
20190408~20190414,장난스런 키스,20183773,8,122
20190408~20190414,바이스,20198104,9,115
20190408~20190414,파이브 피트,20198403,10,123
20190401~20190407,샤잠!,20196244,1,119
20190401~20190407,돈,20176103,2,114
20190401~20190407,어스,20185352,3,120
20190401~20190407,생일,20183096,4,106
20190401~20190407,장난스런 키스,20183773,5,122
20190401~20190407,캡틴 마블,20181877,6,107
20190401~20190407,덤보,20196025,7,124
20190401~20190407,로망,20197092,8,125
20190401~20190407,콜레트,20198146,9,126
20190401~20190407,바이스,20198104,10,115
20190325~20190331,돈,20176103,1,114
20190325~20190331,어스,20185352,2,120
20190325~20190331,캡틴 마블,20181877,3,107
20190325~20190331,덤보,20196025,4,124
20190325~20190331,장난스런 키스,20183773,5,122
20190325~20190331,악질경찰,20197846,6,127
20190325~20190331,우상,20175407,7,128
20190325~20190331,썬키스 패밀리,20166301,8,129
20190325~20190331,1919 유관순,20197483,9,130
20190325~20190331,콜레트,20198146,10,126
20190318~20190324,돈,20176103,1,114
20190318~20190324,캡틴 마블,20181877,2,107
20190318~20190324,악질경찰,20197846,3,127
20190318~20190324,이스케이프 룸,20197283,4,131
20190318~20190324,우상,20175407,5,128
20190318~20190324,라스트 미션,20197356,6,132
20190318~20190324,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,20198603,7,133
20190318~20190324,정글북: 마법 원정대,20197617,8,134
20190318~20190324,그린 북,20184574,9,135
20190318~20190324,항거:유관순 이야기,20196601,10,136
20190311~20190317,캡틴 마블,20181877,1,107
20190311~20190317,이스케이프 룸,20197283,2,131
20190311~20190317,항거:유관순 이야기,20196601,3,136
20190311~20190317,돈,20176103,4,114
20190311~20190317,극한직업,20182530,5,137
20190311~20190317,라스트 미션,20197356,6,132
20190311~20190317,증인,20185881,7,138
20190311~20190317,사바하,20177539,8,139
20190311~20190317,그린 북,20184574,9,135
20190311~20190317,숲속왕국의 꿀벌 여왕,20196723,10,140
20190304~20190310,캡틴 마블,20181877,1,107
20190304~20190310,항거:유관순 이야기,20196601,2,136
20190304~20190310,사바하,20177539,3,139
20190304~20190310,증인,20185881,4,138
20190304~20190310,극한직업,20182530,5,137
20190304~20190310,그린 북,20184574,6,135
20190304~20190310,더 페이버릿: 여왕의 여자,20180937,7,141
20190304~20190310,리노,20177282,8,142
20190304~20190310,자전차왕 엄복동,20176442,9,143
20190304~20190310,신데렐라:마법 반지의 비밀,20195743,10,144
20190225~20190303,사바하,20177539,1,139
20190225~20190303,항거:유관순 이야기,20196601,2,136
20190225~20190303,증인,20185881,3,138
20190225~20190303,극한직업,20182530,4,137
20190225~20190303,자전차왕 엄복동,20176442,5,143
20190225~20190303,신데렐라:마법 반지의 비밀,20195743,6,144
20190225~20190303,"어쩌다, 결혼",20195791,7,145
20190225~20190303,드래곤 길들이기 3,20186261,8,146
20190225~20190303,더 페이버릿: 여왕의 여자,20180937,9,141
20190225~20190303,알리타: 배틀 엔젤,20188282,10,147
20190218~20190224,사바하,20177539,1,139
20190218~20190224,극한직업,20182530,2,137
20190218~20190224,증인,20185881,3,138
20190218~20190224,알리타: 배틀 엔젤,20188282,4,147
20190218~20190224,신데렐라:마법 반지의 비밀,20195743,5,144
20190218~20190224,해피 데스데이 2 유,20195915,6,148
20190218~20190224,드래곤 길들이기 3,20186261,7,146
20190218~20190224,해리포터와 비밀의 방,20020222,8,149
20190218~20190224,콜드 체이싱,20185576,9,150
20190218~20190224,메리 포핀스 리턴즈,20184888,10,151
20190211~20190217,극한직업,20182530,1,137
20190211~20190217,증인,20185881,2,138
20190211~20190217,알리타: 배틀 엔젤,20188282,3,147
20190211~20190217,해피 데스데이 2 유,20195915,4,148
20190211~20190217,기묘한 가족,20174169,5,152
20190211~20190217,드래곤 길들이기 3,20186261,6,146
20190211~20190217,메리 포핀스 리턴즈,20184888,7,151
20190211~20190217,뺑반,20180868,8,153
20190211~20190217,명탐정 코난:전율의 악보,20162003,9,154
20190211~20190217,극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,10,155
20190204~20190210,극한직업,20182530,1,137
20190204~20190210,알리타: 배틀 엔젤,20188282,2,147
20190204~20190210,뺑반,20180868,3,153
20190204~20190210,드래곤 길들이기 3,20186261,4,146
20190204~20190210,극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,5,155
20190204~20190210,레고 무비2,20185444,6,156
20190204~20190210,말모이,20184105,7,157
