showRange,movieNm,rank,movieCd,openDt,audiAcc
20190708~20190714,애나벨 집으로,8,20199951,2019-06-26,459037
20190708~20190714,존 윅 3: 파라벨룸,9,20196655,2019-06-26,913444
20190708~20190714,미드소마,10,20192151,2019-07-11,45707
20190701~20190707,스파이더맨: 파 프롬 홈,1,20196309,2019-07-02,4522056
20190701~20190707,알라딘,2,20183867,2019-05-23,9222666
20190701~20190707,토이 스토리 4,3,20184047,2019-06-20,2783964
20190701~20190707,기생충,4,20183782,2019-05-30,9775783
20190701~20190707,존 윅 3: 파라벨룸,5,20196655,2019-06-26,853985
20190701~20190707,애나벨 집으로,6,20199951,2019-06-26,398494
20190701~20190707,롱 리브 더 킹: 목포 영웅,7,20198453,2019-06-19,1076594
20190701~20190707,천로역정: 천국을 찾아서,8,20190273,2019-06-13,228366
20190701~20190707,비스트,9,20182585,2019-06-26,199009
20190701~20190707,BIFAN2019 판타스틱 단편 걸작선 1,10,20192591, ,25000
20190624~20190630,알라딘,1,20183867,2019-05-23,8271797
20190624~20190630,토이 스토리 4,2,20184047,2019-06-20,2251096
20190624~20190630,존 윅 3: 파라벨룸,3,20196655,2019-06-26,676161
20190624~20190630,기생충,4,20183782,2019-05-30,9577983
20190624~20190630,롱 리브 더 킹: 목포 영웅,5,20198453,2019-06-19,1024456
20190624~20190630,애나벨 집으로,6,20199951,2019-06-26,291328
20190624~20190630,비스트,7,20182585,2019-06-26,177340
20190624~20190630,천로역정: 천국을 찾아서,8,20190273,2019-06-13,199791
20190624~20190630,마담 싸이코,9,20192022,2019-06-26,37437
20190624~20190630,맨 인 블랙: 인터내셔널,10,20196657,2019-06-12,843703
20190617~20190623,알라딘,1,20183867,2019-05-23,6799704
20190617~20190623,토이 스토리 4,2,20184047,2019-06-20,1115831
20190617~20190623,기생충,3,20183782,2019-05-30,9096334
20190617~20190623,롱 리브 더 킹: 목포 영웅,4,20198453,2019-06-19,680862
20190617~20190623,맨 인 블랙: 인터내셔널,5,20196657,2019-06-12,816440
20190617~20190623,존 윅 3: 파라벨룸,6,20196655,2019-06-26,73138
20190617~20190623,천로역정: 천국을 찾아서,7,20190273,2019-06-13,146086
20190617~20190623,사탄의 인형,8,20190885,2019-06-20,46546
20190617~20190623,엑스맨: 다크 피닉스,9,20182387,2019-06-05,861032
20190617~20190623,세상을 바꾼 변호인,10,20190466,2019-06-13,31379
20190610~20190616,알라딘,1,20183867,2019-05-23,5325767
20190610~20190616,기생충,2,20183782,2019-05-30,8345803
20190610~20190616,맨 인 블랙: 인터내셔널,3,20196657,2019-06-12,637801
20190610~20190616,엑스맨: 다크 피닉스,4,20182387,2019-06-05,845123
20190610~20190616,천로역정: 천국을 찾아서,5,20190273,2019-06-13,77793
20190610~20190616,이웃집 토토로,6,19880001,2001-07-28,142372
20190610~20190616,업사이드,7,20191401,2019-06-13,30244
